N,P,K,pH,EC,OC,Zn,Fe,Cu,Mn,Output
364,12.9,401,8.4,0.54,0.2,0.45,1.02,1.05,12.03,1
314,8.1,570,8.1,0.78,0.68,0.22,2.25,1.56,15.26,1
358,7.2,327,8.2,0.5,0.29,0.37,3.15,0.86,6.32,1
257,11.2,412,8,0.31,1.07,0.45,6.21,1.32,11.54,0
245,5.9,686,7.9,0.56,0.68,0.61,7.45,1.47,9.03,0
276,5.5,348,7.3,0.62,0.2,0.28,5.32,0.74,2.78,1
326,11.2,708,7.4,0.55,0.59,0.32,6.03,0.86,13.26,1
282,5.3,834,7.5,0.58,0.39,0.28,2.15,1.32,7.05,1
270,6.1,697,7,0.4,0.68,0.51,2.14,0.96,9.21,1
295,4.4,634,7.9,0.53,1.17,0.46,3.21,1.25,14.05,1
289,5.7,612,7.5,0.67,0.59,0.39,5.21,1.3,2.68,1
314,11.8,359,7.6,0.52,1.27,0.52,2.15,0.86,3.59,1
245,6.6,655,7.8,0.59,0.1,0.3,1.05,0.59,7.12,0
257,7.2,697,7.9,0.64,0.78,0.29,2.06,0.47,16.03,0
301,6.4,327,8.1,0.67,0.39,0.32,3.32,0.9,14.59,1
351,12.3,475,7.4,0.45,0.88,0.47,1.58,1.59,2.15,1
276,7.2,348,7.5,0.69,0.2,0.56,2.69,1.36,9.32,1
264,6.1,644,7.6,0.33,0.68,0.28,3.21,1.87,11.05,0
358,11.4,401,7.8,0.54,0.49,0.31,3.57,0.86,7.36,1
220,7,634,7.9,0.62,0.1,0.22,2.6,1.59,14.52,0
270,7.7,771,7.1,0.2,0.78,0.35,7.32,2.02,19.03,1
245,5.5,391,7.8,0.54,0.29,0.39,6.21,1.45,11.25,0
251,6.4,655,7.5,0.68,1.07,0.28,4.51,0.63,2.69,0
301,8.1,729,7.6,0.36,0.88,0.54,5.32,0.85,8.12,1
270,11.8,781,7.4,0.46,1.17,0.33,6.02,1.09,13.25,1
257,6.6,401,7.9,0.61,0.1,0.38,4.96,1.57,9.36,0
264,7.9,380,7.2,0.33,0.88,0.49,3.51,0.96,10.85,1
276,11.2,475,7.5,0.35,0.39,0.52,6.32,0.54,8.62,1
270,8.6,454,7.52,0.41,0.68,0.66,4.21,1.08,11.47,1
213,7.5,306,7.63,0.51,0.59,0.39,3.2,1.77,9.63,0
157,6.8,760,7.71,0.73,0.2,0.54,1.6,0.39,18.05,0
207,7.5,306,7.72,0.72,0.39,0.26,3.25,1.25,4.85,0
151,7.2,465,7.53,0.43,1.17,0.37,4.15,0.98,7.32,0
201,7.7,507,7.82,0.43,0.78,0.55,6.32,0.63,13.85,0
220,9,338,7.52,0.84,0.1,0.42,2.85,1.54,11.25,0
207,8.6,454,7.44,0.41,0.88,0.6,3.02,0.87,6.32,0
151,7.9,380,7.42,0.62,0.29,0.28,4.15,0.63,7.54,0
163,6.1,296,7.34,0.44,0.39,0.33,9.62,0.42,15.22,0
276,8.6,486,7.52,0.52,0.68,0.38,4.15,1.02,9.02,1
270,8.3,465,7.29,0.63,0.1,0.45,7.62,1.63,11.52,1
69,8.1,422,7.42,0.53,0.59,0.41,3.52,0.89,18.63,0
307,103.1,232,7.25,0.82,0.49,0.27,6.25,1.02,10.25,1
31,78.9,433,7.72,0.62,0.29,0.33,4.05,0.54,6.32,0
320,63.6,306,7.61,0.42,1.07,0.28,8.35,0.78,7.54,1
314,61.4,359,7.35,0.42,0.88,0.56,3.14,1.02,14.02,1
270,70.2,750,7.77,0.34,0.39,0.35,6.52,1.86,18.52,1
276,68,296,7.65,0.53,0.68,0.29,4.12,1.32,11.25,1
270,65.8,306,8.02,0.64,0.2,0.36,8.06,0.93,9.62,1
69,74.6,454,7.72,0.56,0.59,0.24,3.45,1.25,8.05,0
276,81.1,380,7.71,0.71,0.78,0.35,2.21,1.54,4.51,1
270,68,317,7.51,0.53,1.07,0.28,1.59,0.84,6.32,1
301,63.6,327,7.7,0.53,0.88,0.57,6.32,1.25,14.25,1
270,70.2,401,7.51,0.7,1.17,0.49,4.02,0.36,7.54,1
276,61.4,422,7.44,0.54,0.88,0.26,1.87,0.87,11.25,1
107,74.6,486,7.53,0.58,0.68,0.35,6.25,1.25,8.32,0
75,59.2,549,7.5,0.46,0.1,0.28,3.05,0.93,6.32,0
207,74.6,686,7.41,0.57,1.07,0.51,4.2,1.25,9.25,1
100,74.6,412,7.51,0.45,0.78,0.26,3.54,1.63,14.25,0
207,78.9,718,7.29,0.52,0.2,0.37,6.02,0.85,18.22,1
144,81.1,401,7.41,0.61,0.68,0.44,7.51,1.25,10.25,0
213,98.7,359,7.34,0.82,0.88,0.51,3.21,1.03,3.28,1
201,74.6,454,7.33,0.56,0.39,0.28,6.54,1.87,9.63,1
151,85.5,422,8.12,0.46,0.49,0.36,7.02,0.84,14.52,0
144,70.2,581,7.43,0.53,0.29,0.29,5.12,1.25,10.25,0
282,72.4,549,7.62,0.63,0.1,0.37,6.32,1.63,7.54,1
207,76.8,560,7.42,0.42,0.78,0.48,4.15,1.02,13.25,1
220,9,454,7.03,0.53,0.68,0.22,9.03,1.87,10.58,0
276,12.9,401,7.91,0.52,0.2,0.26,2.15,0.84,6.33,1
282,13.2,433,7.02,0.81,0.1,0.37,6.32,0.93,14.25,1
264,12.1,560,7.44,0.53,1.07,0.48,1.25,1.02,10.25,1
195,9.4,539,7.58,0.76,0.88,0.56,7.02,1.33,7.54,0
188,9.2,444,7.32,0.49,0.59,0.52,3.25,1.58,6.32,0
226,9,422,7.43,0.71,0.88,0.48,5.22,0.78,9.25,0
213,9.6,729,7.8,0.49,0.2,0.37,8.33,0.65,10.25,0
201,9,454,7.01,0.47,0.68,0.54,1.56,1.25,8.54,0
207,7.7,465,7.51,0.62,0.29,0.28,6.32,0.98,15.26,0
220,12.3,760,7.02,0.65,0.24,0.16,0.76,0.36,4.65,0
276,9.4,486,7.04,0.74,0.24,0.16,0.76,0.36,4.65,1
226,10.3,612,7.05,0.48,0.41,0.31,0.44,0.44,6.2,0
207,9.4,813,7.01,0.38,0.46,0.39,0.39,0.52,5.37,1
270,11.4,655,7.05,0.62,0.51,0.44,1.11,0.23,1.88,1
295,10.7,644,7.08,0.73,0.57,0.44,0.42,0.51,6.33,1
238,8.3,412,7.06,0.36,0.7,0.31,0.34,0.63,7.13,0
207,9.4,444,7.1,0.64,0.51,0.38,0.27,0.61,6.41,0
182,9.2,465,7.4,0.6,0.51,0.42,1.24,0.31,10.23,0
232,8.8,665,7.5,0.37,0.41,0.5,0.21,0.21,2.11,0
289,10.7,475,7.35,0.63,0.24,0.4,0.31,0.38,6.11,1
195,12.5,507,7.34,0.51,0.46,0.36,0.51,0.35,10.22,0
207,10.7,391,7.29,0.82,0.62,0.41,1.09,0.42,3.52,0
238,9.9,623,7.28,0.58,0.27,0.23,0.65,0.23,4.79,0
201,11.4,834,7.25,0.47,0.41,0.41,0.61,0.24,6.62,0
345,9.6,422,7.37,0.49,0.38,0.37,1.71,0.27,6.23,1
238,10.3,454,7.41,0.66,0.68,0.4,1.32,0.38,3.12,0
201,10.5,444,7.28,0.88,0.46,0.34,1.31,0.47,6.33,0
232,9.9,454,7.45,0.39,0.65,0.42,3.11,0.39,1.17,0
314,8.3,486,7.41,0.42,0.57,0.35,1.02,0.41,9.86,1
245,9.2,391,7.58,0.81,0.84,0.31,1.22,0.44,3.14,0
351,7.2,581,7.8,0.56,0.54,0.42,1.12,0.33,1.11,1
264,9.9,454,7.4,0.33,0.73,0.42,0.81,0.23,4,1
364,7,391,7.9,0.57,0.51,0.34,0.53,0.31,1.72,1
377,8.1,549,7.5,0.62,0.32,0.28,0.96,0.26,3.31,1
282,5.3,697,7.6,0.58,0.46,0.3,0.34,0.22,1.88,1
276,8.6,570,7.5,0.36,0.59,0.42,0.79,0.2,3.16,1
320,3.9,507,7.4,0.34,0.51,42,44,0.42,1.22,1
276,7.9,433,7.9,0.61,0.41,0.4,0.41,0.22,1.21,1
370,12.7,317,8.1,0.52,0.46,0.24,0.52,0.27,1.31,1
207,7,623,7.5,0.59,0.43,0.42,0.62,0.27,3.11,0
169,6.8,602,8.3,0.44,0.22,0.37,0.24,0.33,3.42,0
345,4.4,686,8,0.56,0.35,0.4,0.22,0.24,2.71,1
333,7.2,560,7.6,0.51,0.59,0.4,0.81,0.24,1.13,1
188,11.4,602,7.9,0.6,0.51,0.41,0.62,0.34,2.44,0
364,6.8,444,7.5,0.55,24,38,34,0.21,4.14,1
326,10.1,803,7.4,0.53,0.57,0.37,0.98,0.37,1.43,1
351,8.1,570,7.3,0.3,0.51,0.34,0.3,0.41,4.23,1
377,5.3,623,7.2,0.58,0.32,0.09,0.9,0.21,0.11,1
307,8.6,750,7.4,0.63,0.73,0.38,0.58,0.32,3.31,1
295,12.5,560,7.9,0.51,0.51,0.13,1.06,0.22,1.42,1
213,7,718,7.5,0.47,0.3,0.22,1.29,0.09,3.09,0
226,4.4,760,7.8,0.32,0.57,0.42,0.21,0.22,3.41,0
301,7.2,528,7.9,0.59,0.51,0.35,0.31,0.23,4.43,1
314,6.8,602,7.4,0.55,0.19,0.2,0.73,0.25,31,1
270,10.5,475,7.8,0.37,0.51,0.34,1.13,0.22,4.66,1
295,7.9,623,7.3,0.54,0.19,0.13,4.82,0.17,10.6,1
245,7.5,570,7,0.69,0.51,0.19,1.47,0.24,12.59,1
282,12.9,612,7.9,0.51,0.41,0.41,1.29,0.33,6.21,1
264,7.7,380,7.2,0.36,0.32,0.19,1.02,0.19,18.82,1
339,8.1,560,7.5,0.73,0.54,0.43,0.6,0.19,2.69,1
289,7,444,7.6,0.58,0.46,0.46,1.09,0.27,6.31,1
320,65.8,528,7.5,0.52,0.49,0.11,1.14,0.2,13.92,1
345,76.8,676,7.1,0.7,0.38,0.34,0.83,0.27,6.13,1
333,7.2,549,7.4,0.66,0.46,0.28,1.87,0.27,13.38,1
301,111.8,486,7.5,0.54,0.43,0.25,1.57,0.23,18.71,1
314,7.9,581,7.9,0.58,0.49,0.4,0.68,0.21,8.91,1
326,7.5,612,8.2,0.5,0.57,0.22,2.18,0.14,18.06,1
358,8.3,517,8.1,0.45,0.46,0.22,1.61,0.3,13.14,1
320,6.6,602,8,0.52,0.35,0.34,0.49,0.31,1.27,1
370,125,528,8.1,0.57,0.51,0.26,1.85,0.1,0.26,1
339,6.8,560,8,0.61,0.62,0.07,1.5,0.19,30.48,1
226,15.1,549,7.2,0.59,0.46,0.36,1.7,0.29,6.59,1
326,7.5,433,8.1,0.76,0.41,0.23,1.22,0.38,1.38,1
232,11.4,570,8.1,0.54,0.41,0.31,0.63,0.42,4.32,1
220,7.7,517,8.3,0.73,0.46,0.35,0.53,0.42,3.77,0
301,7.2,591,8,0.75,0.32,0.19,1.24,0.34,14.31,1
351,5.7,581,7.4,0.61,0.78,0.44,1.13,0.22,21.32,1
282,12.7,465,7.5,0.63,0.3,0.09,1.03,0.25,9.35,1
364,7.7,602,7.9,0.53,0.32,0.7,1.21,0.22,7.45,1
339,11,623,8.3,0.67,0.32,0.28,1.36,0.18,13.92,1
383,118.4,665,8.1,0.6,0.65,0.4,0.67,0.34,3.13,1
370,7,528,7.5,0.56,0.73,0.37,0.74,0.38,1.14,1
295,8.1,803,8,0.32,0.78,0.34,0.77,0.18,7.81,1
270,9.4,539,8.3,0.69,0.76,0.31,0.81,0.23,1.29,1
377,8.6,549,8.1,0.55,0.57,0.37,1.11,0.21,1.12,1
220,7.2,507,8,0.38,0.78,0.4,0.72,0.17,14.02,0
207,11.2,317,7.4,0.32,0.62,0.34,0.78,0.28,1.21,0
264,7.7,539,7.9,0.49,0.65,0.36,0.83,0.28,1.01,1
220,7,781,7.5,0.54,0.76,0.32,0.77,0.18,8.14,0
213,12.5,549,7.8,0.1,0.51,0.34,1.22,0.21,1.82,1
370,6.6,591,7.3,0.38,0.65,0.36,0.77,0.18,2.11,1
383,14,718,7.8,0.41,0.62,0.37,0.66,0.22,2.31,1
351,8.6,771,7.9,0.45,0.59,0.38,0.74,0.22,3.13,1
377,11.2,623,7.8,0.64,0.54,0.37,0.88,0.31,1.13,1
364,11.4,602,7.3,0.33,0.7,0.34,0.88,0.26,13.71,1
333,12.3,686,7.4,0.57,0.41,0.34,1.29,0.27,0.84,1
301,6.8,539,7.5,0.3,0.57,0.4,1.13,0.3,8.14,1
201,8.3,591,7.6,0.68,0.57,0.42,0.81,0.37,7.35,0
358,10.7,665,7.3,0.62,0.62,0.44,0.67,0.27,10.61,1
345,8.1,634,7.1,0.56,0.59,0.33,0.47,0.41,2.29,1
370,7.2,581,7.3,0.34,0.49,0.36,1.33,0.31,8.23,1
257,4.4,507,7.1,0.75,0.68,0.4,0.97,0.24,2.75,0
339,8.3,549,7.5,0.31,0.65,0.44,0.44,0.31,3.17,1
377,7.9,602,7.8,0.55,0.86,0.42,0.69,0.83,7.6,1
351,9.6,623,7.9,0.43,0.57,0.37,1.28,0.41,9.53,1
339,6.8,570,7.5,0.79,0.59,0.13,1.45,0.33,2.72,1
201,12.9,433,7.8,0.46,0.65,0.09,1.44,0.2,19.69,1
345,7.5,528,7.9,0.82,0.65,0.09,1.44,0.2,19.69,1
333,8.3,665,7.3,0.3,0.46,0.27,1.87,0.47,13.38,1
351,7,549,7.5,0.37,0.3,0.21,0.71,0.5,3.11,1
295,14.5,612,8.2,0.38,0.49,0.36,2.25,0.69,12.36,1
282,9.2,676,8,0.62,0.78,0.47,7.15,1.02,4.51,1
257,11.6,433,7.4,0.73,0.1,0.25,3.26,1.24,9.62,1
270,12.1,401,7.9,0.36,0.78,0.21,9.05,0.77,14.55,1
289,14.5,549,7.3,0.64,1.07,0.34,4.55,0.53,6.32,1
301,13.6,496,7.8,0.6,0.88,0.51,6.28,1.25,17.54,1
295,12.5,412,7.2,0.37,0.39,0.27,1.05,1.39,11.58,1
276,15.4,433,7.3,0.63,0.88,0.33,6.25,0.54,7.54,1
326,13.4,454,7.9,0.51,0.49,0.28,8.25,0.33,13.02,1
270,13.8,845,7.5,0.82,0.1,0.45,1.32,0.78,8.54,1
289,14.7,750,8.1,0.58,0.68,0.37,4.51,0.59,11.63,1
314,8.3,591,8,0.47,1.07,0.25,3.25,0.62,19.52,1
345,9.9,507,7.9,0.49,0.78,0.59,7.54,0.37,14.33,1
307,6.8,370,7.3,0.66,0.2,0.51,6.05,1.36,10.56,1
339,7.5,475,7.2,0.88,0.78,0.34,8.21,1.07,7.54,1
314,10.3,676,7.9,0.39,0.1,0.28,3.25,1.94,9.36,1
333,12.7,887,7.4,0.42,0.68,0.34,1.96,2.01,14.52,1
351,14.3,560,7.6,0.37,1.07,0.28,1.05,0.87,13.26,1
358,10.1,602,7.8,0.32,0.29,0.33,2.51,0.51,10.85,1
301,10.3,412,7.3,0.77,0.78,0.52,7.15,0.39,7.54,1
326,11.8,444,7.4,0.4,0.1,0.48,3.25,0.46,9.55,1
314,8.1,644,7.8,0.61,0.88,0.29,9.02,1.12,8.52,1
320,8.6,380,7.94,0.69,0.29,0.41,4.15,0.77,4.15,1
358,12.9,422,7.02,0.48,0.68,0.39,3.22,0.91,6.32,1
345,13.6,444,7.85,0.38,0.1,0.35,6.21,0.63,12.05,1
314,14.9,359,7.04,0.43,0.78,0.42,4.15,0.54,10.52,1
333,13.8,401,7.62,0.51,0.59,0.51,2.11,0.71,8.54,1
339,8.3,380,7.67,0.32,0.39,0.33,8.02,1.25,3.25,1
326,10.3,507,7.88,0.71,0.1,0.28,3.02,1.09,7.15,1
351,10.7,623,7.96,0.51,0.29,0.22,4.51,0.38,9.06,1
301,14.3,370,7.05,0.95,0.88,0.34,6.25,1.22,15.32,1
251,13.2,496,7.87,0.4,0.39,0.29,1.25,0.94,11.56,1
326,12.7,454,7.01,0.42,0.2,0.43,7.15,0.37,17.32,1
289,16,327,7.03,0.5,0.49,0.51,3.02,1.22,10.58,1
276,17.3,454,7.91,0.46,1.07,0.33,4.15,1.06,12.56,1
245,6.6,475,7.02,0.51,0.78,0.28,3.25,0.93,7.54,1
345,12.7,412,7.44,0.29,0.39,0.24,8.06,0.57,16.32,1
320,14.3,465,7.58,0.44,0.49,0.39,6.21,1.22,14.05,1
270,13.2,422,7.32,0.68,0.59,0.45,1.05,1.05,19.32,1
333,14.3,507,7.43,0.61,0.88,0.37,1.26,1.37,12.03,1
358,13.2,444,7.8,0.29,0.49,0.26,5.26,1.25,6.25,1
245,13.8,391,7.01,0.64,0.88,0.35,1.25,0.96,12.03,1
314,12.7,591,7.51,0.56,0.1,0.42,3.02,0.53,7.54,1
307,12.9,539,7.34,0.85,1.07,0.53,7.54,1.22,4.51,1
326,14.9,655,7.37,0.87,0.78,0.47,6.33,0.63,8.22,1
320,14.3,422,7.41,0.42,0.59,0.25,1.52,1.52,12.05,1
345,10.5,570,7.43,0.42,0.68,0.36,4.52,1.02,6.32,1
307,11.6,496,7.52,0.93,0.2,0.54,9.62,0.84,9.33,1
295,2.9,612,7.35,0.52,0.39,0.48,8.05,0.63,15.25,1
276,10.7,655,7.47,0.51,1.07,0.26,10.22,0.75,14.22,1
301,12.7,422,8.19,0.57,0.29,0.35,6.32,1.02,13.25,1
282,15.6,602,7.38,0.82,0.88,0.29,4.51,0.74,8.54,1
295,13.4,412,7.35,0.7,0.49,0.22,7.54,0.93,11.25,1
326,11.8,444,8.02,0.75,0.78,0.57,2.02,1.24,21.02,1
358,12.5,581,7.42,0.85,0.2,0.46,1.89,1.05,10.25,1
314,6.6,444,7.23,0.28,0.59,0.35,3.22,0.87,7.54,1
301,9.4,517,8.1,0.38,0.1,0.26,7.54,1.32,6.23,1
220,9,454,7.29,0.84,0.29,0.39,4.15,0.84,8.05,1
276,12.9,401,7.35,0.85,0.68,0.22,3.02,1.28,14.21,1
282,13.2,433,7.34,0.59,0.88,0.41,8.05,1.36,9.02,1
264,12.1,560,7.9,0.63,0.39,0.33,3.22,0.75,11.65,1
195,94.3,539,7.49,0.42,0.59,0.53,7.12,0.87,4.25,0
188,92.1,444,7.34,0.43,0.2,0.34,6.33,1.25,9.6,0
226,89.9,422,7.37,0.62,0.49,0.57,9.21,1.36,13.52,1
213,96.5,729,7.41,0.38,1.07,0.49,6.3,1.27,6.21,1
201,89.9,454,7.43,0.53,0.78,0.55,8.21,2.01,7.54,1
207,76.8,465,7.52,0.69,0.68,0.38,4.56,0.54,3.25,1
220,122.8,760,7.35,0.67,0.68,0.42,7.02,0.96,8.05,1
276,94.3,486,7.47,0.41,0.49,0.28,3.85,1.25,11.03,1
226,103.1,612,8.19,0.63,0.68,0.49,8.05,1.45,6.05,1
207,94.3,813,7.38,0.34,0.1,0.52,6.96,0.74,9.21,1
270,114,655,7.35,0.39,0.59,0.45,7.41,1.32,8.12,1
295,107.5,644,8.02,0.42,0.49,0.33,8.02,1.96,12.36,1
238,83.3,412,7.42,0.72,0.88,0.5,4.58,2.05,6.35,1
207,94.3,444,7.23,0.49,0.39,0.41,9.63,1.54,11.06,1
182,92.1,465,8.1,0.68,0.29,0.39,4.21,2.06,7.35,0
232,87.7,665,7.29,0.75,0.1,0.48,7.53,0.75,15.21,1
289,107.5,475,7.35,0.43,0.88,0.52,6.3,0.48,6.03,1
195,125,507,7.34,0.56,1.27,0.41,7.04,0.9,4.52,1
207,107.5,391,7.29,0.58,0.59,0.27,8.62,1.25,12.32,1
238,98.7,623,7.28,0.44,0.1,0.37,4.51,1.47,5.03,1
201,114,834,7.25,0.43,1.07,0.54,8.35,0.68,9.65,1
345,96.5,422,7.37,0.62,0.2,0.48,7.05,0.6,6.32,1
238,103.1,454,7.41,0.46,0.88,0.52,6.51,0.53,11.05,1
201,105.3,444,7.28,0.43,0.39,0.32,9.53,1.05,15.47,1
232,98.7,454,7.45,0.44,0.59,0.24,4.51,0.68,3.05,1
314,83.3,486,7.41,0.8,0.68,0.51,7.63,1.36,12.06,1
195,94.3,813,7.33,0.74,0.29,0.38,3.52,1.89,11.48,0
226,92.1,655,7.29,0.72,0.1,0.5,8.05,0.54,14.21,1
238,114,708,7.43,0.59,0.88,0.46,9.26,0.63,6.05,1
182,89.9,454,7.55,0.48,0.68,0.32,4.15,1.02,7.15,0
182,92.1,697,7.38,0.83,0.39,0.44,7.52,1.98,15.23,0
213,107.5,612,7.37,0.45,0.39,0.44,7.52,1.98,15.23,1
226,87.7,708,7.34,0.39,0.88,0.46,3.5,0.45,13.56,1
213,120.6,623,7.41,0.42,0.49,0.59,6.53,0.86,3.56,1
333,10.7,444,7.43,0.73,0.49,0.59,6.53,0.86,3.56,1
238,7.7,454,7.41,0.88,0.29,0.38,7.05,1.02,7.02,0
201,9.4,697,7.4,0.51,1.17,0.26,4.35,1.63,9.54,0
195,9.2,454,7.52,0.49,0.88,0.38,8.36,0.34,4.02,0
270,8.1,444,7.55,0.53,0.29,0.63,7.02,1.96,11.56,1
195,8.8,454,7.47,0.53,1.07,0.4,4.96,2.01,3.2,0
213,10.7,771,7.29,0.52,0.68,0.49,8.51,0.75,15.62,0
201,8.3,697,7.48,0.81,0.2,0.53,5.6,0.86,11.3,0
232,10.7,760,7.35,0.53,0.49,0.42,9.05,1.32,9.32,0
226,9.2,454,7.44,0.76,0.59,0.5,6.35,1.5,5.21,0
257,7.5,444,7.47,0.49,0.98,0.37,7.41,0.8,11.05,0
245,8.3,507,7.42,0.71,1.27,0.61,8.05,1.32,6.32,0
245,11.4,549,7.65,0.49,1.07,0.59,4.05,1.87,9.54,0
264,9,486,7.24,0.47,0.59,0.29,9.35,1.23,11.65,1
276,9.2,370,7.62,0.62,0.59,0.29,9.35,1.23,11.65,1
320,13.8,391,7.38,0.65,0.68,0.38,5.41,0.89,9.05,1
264,10.3,475,7.49,0.74,0.1,0.51,5.8,0.51,7.32,0
333,14.9,422,8.26,0.48,1.17,0.6,7.62,1.02,11.65,1
295,14.5,612,8.4,0.38,0.39,0.39,6.23,0.63,9.06,1
282,9.2,676,7.95,0.62,0.59,0.44,4.12,1.32,11.41,1
257,11.6,433,7.58,0.73,0.29,0.29,3.25,2.1,6.5,0
270,12.1,401,7.47,0.36,0.78,0.37,5.21,0.86,13.05,1
289,14.5,549,7.18,0.64,0.1,0.41,7.15,0.75,6.03,1
301,13.6,496,7.2,0.6,0.59,0.59,3.52,1.09,12.05,1
295,12.5,412,7.12,0.37,0.2,0.36,8.02,1.33,9.21,1
276,15.4,433,7.01,0.63,1.17,0.51,9.06,0.45,4.51,1
326,13.4,454,7.13,0.51,0.88,0.29,4.85,0.78,9.32,1
270,13.8,845,7,0.82,0.1,0.48,3.06,0.61,10.58,1
289,14.7,750,7.01,0.58,0.29,0.63,8.35,1.53,13.02,1
314,8.3,591,7,0.47,0.68,0.44,4.6,1.96,6.57,1
345,9.9,507,7,0.49,0.1,0.5,6.32,1.55,9.03,1
307,6.8,370,7.02,0.66,0.2,0.68,4.88,0.52,8.51,1
339,7.5,475,7,0.88,0.98,0.54,7.15,0.39,10.59,1
314,10.3,676,7.03,0.39,1.07,0.39,6.23,0.47,2.69,1
333,12.7,887,7.1,0.42,0.88,0.75,4.96,1.08,12.03,1
351,14.3,560,7.82,0.37,0.39,0.36,5.51,1.55,9.65,1
358,10.1,602,7.01,0.32,0.68,0.42,9.23,2.04,14.52,1
301,10.3,412,7,0.77,0.98,0.66,4.53,0.96,10.63,1
326,11.8,444,7.33,0.4,0.1,0.51,9.03,0.54,6.58,1
314,8.1,644,7.41,0.61,0.29,0.27,4.59,1.05,4.51,1
320,8.6,380,7.94,0.69,0.98,0.48,7.63,1.78,9.3,1
358,12.9,422,7.02,0.48,1.27,0.29,3.56,0.63,11.56,1
345,13.6,444,7.85,0.38,0.1,0.35,8.54,1.02,9.64,1
314,14.9,359,7.04,0.43,0.68,0.17,6.11,0.88,3.74,1
333,13.8,401,7.62,0.51,0.49,0.26,3.05,1.03,9.05,1
339,8.3,380,7.67,0.32,0.88,0.33,7.96,1.65,12.47,1
326,10.3,507,7.88,0.71,0.39,0.21,8.63,2.01,8.63,1
351,10.7,623,7.96,0.51,0.29,0.36,4.69,0.69,11.03,1
264,9,486,7.24,0.47,0.1,0.35,8.26,0.45,7.98,1
276,9.2,370,7.62,0.62,0.49,0.42,3.57,0.63,6.48,1
320,13.8,391,7.38,0.65,1.07,0.58,4.58,1.02,13.25,1
264,10.3,475,7.49,0.74,0.88,0.45,7.36,1.87,10.63,0
